entity,as_of,population,current_census_median,projected_peak_median,projected_peak_p90,projected_peak_per_100k,benchmark_peak,benchmark_per_100k,benchmark_usable,utilisation_median,prob_exceed_benchmark,lead_time_days,lead_time_days_p25,horizon
Rwanda,2020-10-25,13776702.0,0.7463738863684279,2.188104352511285,3.9516818349229634,0.015882642685537404,6.9908941672243445,0.05074432304062572,False,,,,,21
Madagascar,2020-10-25,29611718.0,2.0874557127100255,4.4630095617849666,8.41358850193512,0.015071768418789367,23.238897125708647,0.07847871955861746,False,,,,,21
Gambia,2020-10-25,2705995.0,0.4016612575226668,0.37819423142755976,0.6238334007820312,0.013976161501686431,6.673127779258146,0.2466053255552263,False,,,,,21
Guinea-Bissau,2020-10-25,2105580.0,0.27330703316977417,0.2622714023266215,0.4341414227208962,0.012456016979959036,2.9154699422248056,0.1384639834261726,False,,,,,21
Cote d'Ivoire,2020-10-25,28160548.0,2.7356727455899605,2.648920316865785,4.37820209906684,0.0094064942090821,19.61025522869531,0.06963733528443874,False,,,,,21
Liberia,2020-10-25,5302690.0,0.15031139695334114,0.42891143721334735,0.8117687454468875,0.008088563299256554,1.4351627206354967,0.027064805233485208,False,,,,,21
Australia,2020-10-25,26177410.0,1.5142905232262136,1.9030470849222232,3.1367904363411934,0.007269806619227124,33.016160445398526,0.12612462594809237,False,,,,,21
Eritrea,2020-10-25,3684041.0,0.2550244905785276,0.26729948173388784,0.4226945850163434,0.007255605508567571,0.5246539128204796,0.014241261506603198,False,,,,,21
Benin,2020-10-25,13352864.0,0.6279092014475556,0.9366781051122942,1.4980743214436065,0.0070148104939306965,3.0257110966499443,0.022659641382177968,False,,,,,21
Mali,2020-10-25,22593598.0,1.074286601258454,1.5556793077179678,2.599253446262765,0.00688548724164238,2.707084301130984,0.011981643212077085,False,,,,,21
Somalia,2020-10-25,17597508.0,1.256340537566556,1.1950212629421395,1.9524456464972746,0.006790855062785819,3.641656599506237,0.020694160784050997,False,,,,,21
Chad,2020-10-25,17723312.0,0.6848475750258093,1.196179857373334,2.043200820952972,0.006749189188642247,1.8218988229112894,0.01027967471831049,False,,,,,21
Burkina Faso,2020-10-25,22673764.0,1.3769717577611256,1.341158508774705,2.2092539595345304,0.005915023675710416,1.7957337974530714,0.007919875136095936,False,,,,,21
South Sudan,2020-10-25,10913172.0,0.571704618956669,0.640709026055112,1.0166246400276944,0.005870969742391232,4.0607254844607255,0.03720939690550763,False,,,,,21
Nigeria,2020-10-25,218541216.0,11.247851364371964,11.224929978561203,18.090070265761113,0.005136298856578707,44.90250439589266,0.020546469548285422,False,,,,,21
